album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,70RuiIXC1sSc5NzXDCEEhP,14,Salve Black (Estilo Livre),35,283062,2015-08-07,['Emicida']
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,3JmHWXE5VeUi0Uhpxbs9v6,1,Milionário do Sonho,1,50066,2013-08-21,"['Emicida', 'Elisa Lucinda']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,2YEBWxw7dXdmYFM4VqR3p1,2,Levanta e Anda,4,150320,2013-08-21,"['Emicida', 'Rael']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,7zvTUP7AJlZWyJ1S6rYOwP,3,Nóiz,25,303226,2013-08-21,['Emicida']
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,4rH2Yzww7Sb3L6NF3mMySu,4,Zóião,2,232546,2013-08-21,['Emicida']
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,4Qu1lQg9LBnhuI047ODnuU,5,Crisântemo,2,314440,2013-08-21,"['Emicida', 'Dona Jacira']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,2EiJXgUnQ4P1yCOzucaJr4,6,Sol de Giz de Cera,2,138320,2013-08-21,"['Emicida', 'Estela Vergilio', 'Tulipa Ruiz']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,4Hb1MqogMXGusJo6RAD2qy,7,Hoje Cedo,5,194080,2013-08-21,"['Emicida', 'Pitty']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,6sbS5YK2N0Tg4sYQvIci0Z,8,Trepadeira,3,282800,2013-08-21,"['Emicida', 'Wilson Das Neves']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,19eRmnU9m1SWl9c8MBYY5a,9,Bang!,5,290480,2013-08-21,['Emicida']
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,1BwgNjYeQMHNvKe1BkK0tY,10,Gueto,1,184093,2013-08-21,"['Emicida', 'MC Guime']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,2484tvE4r41MHm85lq7z9H,11,Hino Vira-Lata,1,192413,2013-08-21,"['Emicida', 'Quinteto em Branco e Preto']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,1otDo025Yi7BixVS6BgFf9,12,Alma Gêmea,4,239986,2013-08-21,['Emicida']
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,55HB8Maxa9dkWs9UDxjPRV,13,Samba do Fim do Mundo,2,219200,2013-08-21,"['Emicida', 'Fabiana Cozza', 'Juçara Marçal']"
O Glorioso Retorno de Quem Nunca Esteve Aqui,album,3G3PPoNXTdirajaiIFh11y,14,Ubuntu Fristaili,2,286826,2013-08-21,['Emicida']
Rock In Rio (Ao Vivo),album,21qhVrVh2DHXxYZv0CtDqR,1,Oi Compadre - Ao Vivo,32,246320,2013-08-07,"['Martinho Da Vila', 'Cidade Negra', 'Emicida']"
Rock In Rio (Ao Vivo),album,0zmRdTMzCtNKGncGO7SF6w,2,Pensamento - Ao Vivo,32,141466,2013-08-07,"['Cidade Negra', 'Martinho Da Vila', 'Emicida']"
Rock In Rio (Ao Vivo),album,799nn8g4CxgRKB30WN2kuZ,3,Onde Você Mora? / Firmamento - Ao Vivo,38,380546,2013-08-07,"['Cidade Negra', 'Martinho Da Vila', 'Emicida']"
Rock In Rio (Ao Vivo),album,0jelsEmdJqRITQRTkTTLQc,4,Semba Dos Ancestrais/ Muadiakime/ Mama Lala - Ao Vivo,33,366400,2013-08-07,"['Martinho Da Vila', 'Cidade Negra', 'Emicida']"
Rock In Rio (Ao Vivo),album,1QcodsyoLPPaRKk9CP8KFZ,5,Quero Ver Quarta-Feira - Ao Vivo,19,294520,2013-08-07,"['Emicida', 'Cidade Negra', 'Martinho da Vida']"
Rock In Rio (Ao Vivo),album,5wW6ZL4fJEScfMVy9foh1v,6,A Estrada - Ao Vivo,28,423253,2013-08-07,"['Cidade Negra', 'Emicida']"
Rock In Rio (Ao Vivo),album,1OiEtwW1HXZ4jEWpfCQ0OF,7,Disritmia - Ao Vivo,20,165733,2013-08-07,['Martinho Da Vila']
Rock In Rio (Ao Vivo),album,2Mw58TmIuTkrwjigF7nDN4,8,O Amor da Gente/ Casa de Bamba - Ao Vivo,17,317746,2013-08-07,"['Martinho Da Vila', 'Emicida']"
Rock In Rio (Ao Vivo),album,0PDXEO9HWZHuqasrIIVFRO,9,A Sombra da Maldade - Ao Vivo,19,251133,2013-08-07,"['Cidade Negra', 'Emicida']"
Rock In Rio (Ao Vivo),album,6TLIt57cUgzDKKTZEzYdlg,10,Viva (Melô Dos Vileiros) - Ao Vivo,16,206520,2013-08-07,"['Emicida', 'Cidade Negra']"
Rock In Rio (Ao Vivo),album,6EVlrirhIuJd7uMJ0FlbEs,11,O Pequeno Burguês/ Canta Canta Minha Gente - Ao Vivo,31,249373,2013-08-07,"['Martinho Da Vila', 'Cidade Negra', 'Emicida']"
Rock In Rio (Ao Vivo),album,4LBiCyzNWzd8Bawl5hnRsY,12,Madalena do Jucu - Ao Vivo,17,431720,2013-08-07,"['Martinho Da Vila', 'Cidade Negra', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,6F4zAdEznwkmn8MHJtcjtT,1,Zica Vai Lá - Live,33,238346,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,5UmdgDfLHZO3ceGp6qp7yy,2,Dedo Na Ferida - Live,33,226160,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,09sMZakpoYDwZIdqgg9YKS,3,Rua Augusta - Live,36,177560,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,5K0z3idLxEFY0tv82NeMPe,4,Mariô - Live,32,267480,2013-01-01,['Criolo']
